track_id	source_ext	source_bytes	source_sha256	opus_bitrate_kbps	opus_bytes	opus_sha256	duration_ms	channels
scarlatti-k466	ogg	4803250	fc1e309d62c85e181c32a0d7e936fb99c5f8e190938dfb6b2919d288aef1d4e8	128	3936797	a0dd39ec1f5f9069dac181fb75bdb3f5210f5492539bc2114faa5c98e7e6af13	199776	2
schubert-impromptu-d935-three	ogg	11956251	ad5c2a41064bc5ac3eba25b1c47fcb247e9b5d531777401b3e089244a4631a1c	128	13282734	c8cb39bb6bc14a21c0eb4471dc8d347f74f0d3f26e1567626b0d8b97ea1f0d7a	735827	2
schumann-kinderszenen-one	ogg	1688427	c8eab1bc240b5ec5cd5c338c2e628c7849775963aa0986d9fa01fc4a6b18d469	128	2248245	dfba1560fe26fe32e7c4de42fc6f627d913776f03fa290898eca9cc8ed9ccaef	111892	2
schumann-kinderszenen-seven	ogg	2892811	bf04d6906d50f399ec62b7cf8650fe0414d684446d6a0ae2053a416d6515deb5	128	3916101	7c5bbae23c31fc6d51e977f34336ff7da94542431d73a85b692eff4e01d7262d	203007	2
schumann-kinderszenen-ten	ogg	1726776	2604c079a78387f5d0bbd43f53ebdf56c2b13d7b838490d6baf8b03c0e003cfa	128	2306898	666bd7402095f20e0d0f5a82d6edba25996498bf28f6197794336772e8e813c9	117430	2
scriabin-prelude-67-1	ogg	1962358	8151a52299770202a1b4d001837808529d4e6c49c78786feac1bda3d4519587b	128	2102356	5194db86ce7128b9e2c64524587a68c5f270d4c5407c1ff381f5f261fe10039d	117299	2
small-fire-guitar-loop	wav	16934546	1cb42057e724224d6047f651b95598f5c094caaaba47f6430dd5d540c09c4414	128	1222886	a151b881bce7f45ce522e14ff5c8f58873e903a2c237d54ddb912006f8d6bbe6	64006	2
smetana-moldau	ogg	14631020	6ab588f40811664fc5fbfdf42ef7b57cc8c5f3005a0e2c2979585795c11fe6ab	128	13738472	f3c3b7ddaad0c3811b8474fd8e8cebb1cb4a5a1b93909da14f60952fed91e937	890707	2
solo-piano-four	ogg	1158279	d01447031ab85747d76a9492895cc1121fb8cac2fc0b38fe3f6c8d1c2110feb0	112	3595613	90345f0798f81137b3b42033bdb13cfe201e78d50ad5f29c58b93579f017f3ac	198822	2
synth-hiphop	ogg	8987157	0a85df3432989ac391808580c5bc22af28f956bf7c365bf5b963d79cd02ac457	96	5518764	cf612105f7b69cd7296cf488f816280d5cf8a1be1fa2a6966b8ef7fd87a85123	375010	2
tchaikovsky-seasons-april	ogg	2403225	f756593f996518c0ebbe7d6b7e28cc4f4e276e5c517f5cbe0a14fe5bfb2ba959	128	2352202	d038259d1ef8aac0da0e70c470b58dbad7af479b3b7ec8d8fbcd11f00b841a25	128951	2
