# Soundist 电台音频完整下载地址
# 来源：prototypes/mobile-interactive/src/app/radioCatalog.ts
# 开放精选频道：24
# 曲目位置：312
# 去重音频：294
# 格式：ID | 标题 | 直接下载地址 | 来源页面

bach-goldberg-cc0-12 | 哥德堡变奏曲：第12变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v12.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v12.lehman1.ogg
bach-goldberg-cc0-13 | 哥德堡变奏曲：第13变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v13.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v13.lehman1.ogg
bach-goldberg-cc0-14 | 哥德堡变奏曲：第14变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v14.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v14.lehman1.ogg
bach-goldberg-cc0-15 | 哥德堡变奏曲：第15变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v15.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v15.lehman1.ogg
bach-goldberg-cc0-16 | 哥德堡变奏曲：第16变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v16.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v16.lehman1.ogg
bach-goldberg-cc0-27 | 哥德堡变奏曲：第27变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v27.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v27.lehman1.ogg
bach-goldberg-cc0-28 | 哥德堡变奏曲：第28变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v28.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v28.lehman1.ogg
bach-goldberg-cc0-29 | 哥德堡变奏曲：第29变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v29.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v29.lehman1.ogg
bach-goldberg-cc0-30 | 哥德堡变奏曲：第30变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v30.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v30.lehman1.ogg
bach-goldberg-var8 | 哥德堡变奏曲：第八变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/11%20Goldberg%20Variation%208.ogg | https://commons.wikimedia.org/wiki/File:11%20Goldberg%20Variation%208.ogg
bach-partita-preludio | 第三小提琴组曲：前奏曲 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Johann%20Sebastian%20Bach%20-%20partita%20no.%203%20in%20e%20major%2C%20bwv%201006%20-%201.%20preludio.ogg | https://commons.wikimedia.org/wiki/File:Johann%20Sebastian%20Bach%20-%20partita%20no.%203%20in%20e%20major%2C%20bwv%201006%20-%201.%20preludio.ogg
bach-passacaglia-bwv582 | C小调帕萨卡利亚与赋格 BWV 582 | https://commons.wikimedia.org/wiki/Special:Redirect/file/20091104%20Awadagin%20Pratt%20-%20Bach's%20Passacaglia%20and%20Fugue%20in%20C%20minor%2C%20BWV%20582.ogg | https://commons.wikimedia.org/wiki/File:20091104%20Awadagin%20Pratt%20-%20Bach's%20Passacaglia%20and%20Fugue%20in%20C%20minor%2C%20BWV%20582.ogg
bach-sonata-adagio | 第一小提琴奏鸣曲：柔板 | https://commons.wikimedia.org/wiki/Special:Redirect/file/J.%20S.%20Bach%20%E2%80%93%20Violin%20Sonata%20No.1%20in%20G%20minor%2C%20BWV%201001%2C%20I.%20Adagio.ogg | https://commons.wikimedia.org/wiki/File:J.%20S.%20Bach%20%E2%80%93%20Violin%20Sonata%20No.1%20in%20G%20minor%2C%20BWV%201001%2C%20I.%20Adagio.ogg
bach-wtc-prelude | 平均律第一卷：降E小调前奏曲 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Johann%20Sebastian%20Bach%20-%20book%20i-%20prelude%20and%20fugue%20no.%208%20in%20e%20flat%20minor%2C%20bwv%20853%20-%20prelude.ogg | https://commons.wikimedia.org/wiki/File:Johann%20Sebastian%20Bach%20-%20book%20i-%20prelude%20and%20fugue%20no.%208%20in%20e%20flat%20minor%2C%20bwv%20853%20-%20prelude.ogg
background-music-one | Background Music 1 | https://opengameart.org/sites/default/files/bgmusic1.ogg | https://opengameart.org/content/background-music-1
beats-disco-lounge | Disco Lounge | https://incompetech.com/music/royalty-free/mp3-royaltyfree/Disco%20Lounge.mp3 | https://incompetech.com/music/royalty-free/music.html
beats-electro-cabello | Electro Cabello | https://incompetech.com/music/royalty-free/mp3-royaltyfree/Electro%20Cabello.mp3 | https://incompetech.com/music/royalty-free/music.html
beats-faster-does-it | Faster Does It | https://incompetech.com/music/royalty-free/mp3-royaltyfree/Faster%20Does%20It.mp3 | https://incompetech.com/music/royalty-free/music.html
beats-funkorama | Funkorama | https://incompetech.com/music/royalty-free/mp3-royaltyfree/Funkorama.mp3 | https://incompetech.com/music/royalty-free/music.html
beats-groove-grove | Groove Grove | https://incompetech.com/music/royalty-free/mp3-royaltyfree/Groove%20Grove.mp3 | https://incompetech.com/music/royalty-free/music.html
beethoven-32-variations | C小调三十二段变奏 WoO 80 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%2032%20Variations%20in%20C%20Minor%2C%20WoO%2080.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%2032%20Variations%20in%20C%20Minor%2C%20WoO%2080.ogg
beethoven-cello-sonata-three-two | 第三大提琴奏鸣曲 II | https://commons.wikimedia.org/wiki/Special:Redirect/file/Ludwig%20van%20Beethoven%20%E2%80%94%20Cello%20Sonata%20No.%203%20(2nd%20movement).ogg | https://commons.wikimedia.org/wiki/File:Ludwig%20van%20Beethoven%20%E2%80%94%20Cello%20Sonata%20No.%203%20(2nd%20movement).ogg
beethoven-concerto-largo | 第一钢琴协奏曲：广板 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Ludwig%20van%20Beethoven%20-%20piano%20concerto%20no.%201%20in%20c%20major%2C%20op.%2015%20-%20ii.%20largo.ogg | https://commons.wikimedia.org/wiki/File:Ludwig%20van%20Beethoven%20-%20piano%20concerto%20no.%201%20in%20c%20major%2C%20op.%2015%20-%20ii.%20largo.ogg
beethoven-diabelli-01-02 | 迪亚贝利变奏曲 1–2 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2001-02.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2001-02.ogg
beethoven-diabelli-03-04 | 迪亚贝利变奏曲 3–4 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2003-04.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2003-04.ogg
beethoven-diabelli-05-07 | 迪亚贝利变奏曲 5–7 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2005-06-07.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2005-06-07.ogg
beethoven-diabelli-08-10 | 迪亚贝利变奏曲 8–10 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2008-09-10.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2008-09-10.ogg
beethoven-diabelli-11-13 | 迪亚贝利变奏曲 11–13 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2011-12-13.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2011-12-13.ogg
beethoven-diabelli-14 | 迪亚贝利变奏曲 14 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2014.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2014.ogg
beethoven-diabelli-15-17 | 迪亚贝利变奏曲 15–17 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2015-16-17.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2015-16-17.ogg
beethoven-diabelli-18-19 | 迪亚贝利变奏曲 18–19 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2018-19.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2018-19.ogg
beethoven-diabelli-20-23 | 迪亚贝利变奏曲 20–23 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2020-21-22-23.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2020-21-22-23.ogg
beethoven-diabelli-24 | 迪亚贝利变奏曲 24 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2024.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2024.ogg
beethoven-diabelli-25-29 | 迪亚贝利变奏曲 25–29 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Beethoven%20-%20Diabelli%20Variations%20-%2025-26-27-28-29.ogg | https://commons.wikimedia.org/wiki/File:Beethoven%20-%20Diabelli%20Variations%20-%2025-26-27-28-29.ogg
